PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Jerome Williams,DET,24,33,19,14,5.3,1.5,0.6,1.5,39.2,0.0,0.0,0.0,0.3,0.5,52.9,0.7,0.8,1.5,0.2,0.4,0.4,0.0,0.5,4.5,0.0,0.0,-0.2
Reggie Geary,CLE,23,39,22,17,6.2,1.5,0.6,1.5,37.9,0.2,0.5,38.1,0.1,0.3,45.5,0.1,0.3,0.4,0.9,0.4,0.3,0.1,0.9,4.1,0.0,0.0,0.5
Ben Davis,PHX,24,20,12,8,4.9,1.5,0.5,1.3,38.5,0.0,0.0,0.0,0.5,1.0,45.0,0.6,0.8,1.4,0.0,0.2,0.2,0.1,0.8,3.7,0.0,0.0,-0.7
Brian Evans,ORL,23,14,8,6,4.1,1.4,0.6,1.6,36.4,0.3,0.6,50.0,0.0,0.0,0.0,0.1,0.5,0.6,0.5,0.1,0.1,0.1,0.4,3.4,0.0,0.0,-0.9
Keith Tower,MIL,27,5,2,3,14.5,1.4,0.6,1.6,37.5,0.0,0.0,0.0,0.2,1.6,12.5,0.4,1.4,1.8,0.2,0.4,0.4,0.2,2.4,5.3,0.0,0.0,-0.6
Yinka Dare,NJN,24,41,12,29,7.7,1.4,0.5,1.3,35.2,0.0,0.0,0.0,0.5,0.9,51.4,0.9,1.1,2.0,0.1,0.5,0.1,0.7,1.2,5.7,0.0,0.0,0.1
Ivano Newbill,ATL,26,72,49,23,11.8,1.4,0.6,1.3,44.0,0.0,0.0,0.0,0.3,0.7,38.5,1.1,1.8,2.8,0.3,0.6,0.4,0.2,1.6,6.5,0.0,0.0,0.1
Ennis Whatley,POR,34,3,0,3,7.0,1.3,0.7,1.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3,0.0,0.0,1.7,3.7,0.0,0.0,-8.0
Ashraf Amaya,WAS,25,31,16,15,4.7,1.3,0.4,1.3,30.0,0.0,0.0,100,0.5,0.9,53.6,0.6,1.1,1.7,0.1,0.3,0.2,0.1,0.9,4.1,0.0,0.0,-1.3
Jimmy Carruth,MIL,27,4,0,4,4.8,1.3,0.5,0.8,66.7,0.0,0.0,0.0,0.3,0.3,100,0.0,1.0,1.0,0.0,0.3,0.0,0.5,1.0,3.7,0.0,0.0,-0.8
Shawnelle Scott,CLE,25,16,4,12,3.0,1.3,0.5,1.0,50.0,0.0,0.0,0.0,0.3,0.7,36.4,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.4,3.0,0.0,0.0,0.1
David Wood,MIL,32,46,17,29,5.1,1.2,0.4,0.8,52.6,0.1,0.3,33.3,0.3,0.4,66.7,0.1,0.5,0.6,0.3,0.1,0.2,0.1,0.8,3.1,0.0,0.0,-0.1
Brent Scott,IND,26,16,7,9,3.4,1.2,0.5,1.1,47.1,0.0,0.0,0.0,0.2,0.4,50.0,0.2,0.4,0.6,0.2,0.3,0.1,0.1,0.9,2.3,0.0,0.0,0.3
Ben Wallace,WAS,22,34,21,13,5.7,1.1,0.5,1.4,34.8,0.0,0.0,0.0,0.2,0.6,30.0,0.7,1.0,1.7,0.1,0.5,0.2,0.3,0.8,4.4,0.0,0.0,-0.6
Carl Thomas,CLE,27,19,13,6,4.0,1.1,0.5,1.3,37.5,0.1,0.6,16.7,0.1,0.1,100,0.2,0.5,0.7,0.4,0.3,0.1,0.1,0.4,2.7,0.0,0.0,-0.8
Dell Demps,ORL,27,2,0,2,4.6,1.0,0.0,1.5,0.0,0.0,0.5,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.5,0.0,0.0,-6.0
Larry Krystkowiak,LAL,32,3,1,2,3.9,1.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.7,50.0,0.7,1.0,1.7,1.0,0.3,0.7,0.0,1.0,6.2,0.0,0.0,1.3
Earl Cureton,TOR,39,9,1,8,5.0,0.8,0.3,0.9,37.5,0.0,0.0,0.0,0.1,0.3,33.3,0.4,0.6,1.0,0.4,0.1,0.0,0.0,1.1,2.5,0.0,0.0,-0.7
Tim Kempton,SAS,33,10,2,8,5.9,0.4,0.1,0.5,20.0,0.0,0.0,0.0,0.2,0.2,100,0.3,0.5,0.8,0.2,0.7,0.1,0.1,0.4,1.6,0.0,0.0,-1.2
LaSalle Thompson,IND,36,26,9,17,5.3,0.4,0.1,0.7,15.8,0.0,0.0,0.0,0.2,0.2,66.7,0.3,1.0,1.3,0.1,0.3,0.1,0.2,1.3,2.8,0.0,0.0,-1.7
Charles Jones,HOU,40,12,7,5,7.7,0.3,0.2,0.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,1.1,0.3,0.0,0.2,0.3,0.7,3.5,0.0,0.0,0.1
Matt Fish,MIA,27,6,5,1,1.3,0.3,0.2,0.5,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.8,0.0,0.3,0.0,0.0,0.3,1.0,0.0,0.0,-0.7
James Scott,MIA,25,8,8,0,4.0,0.1,0.0,1.0,0.0,0.0,0.5,0.0,0.1,0.3,50.0,0.1,0.6,0.8,0.4,0.3,0.3,0.0,0.6,2.1,0.0,0.0,-1.5
Anthony Miller,ATL,25,1,0,1,13.7,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,8.4,0.0,0.0,-14.0
Bruce Bowen,MIA,26,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0
